Date;Activity;Plants;Note
31.07.2024;Watering;Elvis;
01.08.2024;Watering;Elvis;Rain Water
02.08.2024;Watering;Elvis;
03.08.2024;Watering;Elvis;Rain Water
05.08.2024;Watering;Elvis;
12.08.2024;Watering;Elvis;
15.08.2024;Watering;Elvis;
18.08.2024;Watering;Elvis;Rain Water
20.08.2024;Watering;Elvis;
28.08.2024;Watering;Elvis;
02.09.2024;Watering;Elvis;
09.09.2024;Watering;Elvis;Rain Water
12.04.2024;Watering;Kevin;
13.04.2024;Watering;Kevin;
13.04.2024;Added Autowaterer;Kevin;
16.04.2024;Fertilizing;Kevin;
18.05.2024;Fertilizing;Kevin;
14.06.2024;Watering;Kevin;
15.06.2024;Fertilizing;Kevin;
15.06.2024;Watering;Kevin;
16.06.2024;Watering;Kevin;
17.06.2024;Watering;Kevin;
19.06.2024;Watering;Kevin;
25.06.2024;Watering;Kevin;
25.06.2024;Pruning;Kevin;
27.06.2024;Watering;Kevin;
28.06.2024;Watering;Kevin;
28.06.2024;Watering;Kevin;
29.06.2024;Watering;Kevin;
02.07.2024;Watering;Kevin;
03.07.2024;Fertilizing;Kevin;
03.07.2024;Watering;Kevin;
15.07.2024;Watering;Kevin;
16.07.2024;Watering;Kevin;
18.07.2024;Watering;Kevin;
18.07.2024;Fertilizing;Kevin;
19.07.2024;Watering;Kevin;
21.07.2024;Watering;Kevin;
22.07.2024;Watering;Kevin;
24.07.2024;Repot;Kevin;
24.07.2024;Watering;Kevin;
01.08.2024;Watering;Kevin;Rain Water
03.08.2024;Watering;Kevin;Rain Water
05.08.2024;Watering;Kevin;
12.08.2024;Watering;Kevin;
15.08.2024;Watering;Kevin;
15.08.2024;Watering;Kevin;
18.08.2024;Watering;Kevin;Rain Water
21.08.2024;Watering;Kevin;
23.08.2024;Fertilizing;Kevin;
23.08.2024;Watering;Kevin;
24.08.2024;Watering;Kevin;
28.08.2024;Watering;Kevin;
30.08.2024;Watering;Kevin;
02.09.2024;Watering;Kevin;
05.09.2024;Watering;Kevin;
07.09.2024;Watering;Kevin;
09.09.2024;Watering;Kevin;
12.04.2024;Watering;Beehome;
13.04.2024;Watering;Beehome;
14.04.2024;Watering;Beehome;
22.04.2024;Watering;Beehome;
07.05.2024;Watering;Beehome;
09.05.2024;Watering;Beehome;
10.05.2024;Watering;Beehome;
11.05.2024;Watering;Beehome;
12.05.2024;Watering;Beehome;
13.05.2024;Watering;Beehome;
14.05.2024;Watering;Beehome;
16.05.2024;Watering;Beehome;
18.05.2024;Watering;Beehome;
19.05.2024;Watering;Beehome;
20.05.2024;Watering;Beehome;
22.05.2024;Watering;Beehome;
23.05.2024;Watering;Beehome;
24.05.2024;Watering;Beehome;
25.05.2024;Watering;Beehome;
26.05.2024;Watering;Beehome;
28.05.2024;Watering;Beehome;
01.06.2024;Watering;Beehome;Rain Water
05.06.2024;Watering;Beehome;
06.06.2024;Watering;Beehome;
07.06.2024;Watering;Beehome;
08.06.2024;Watering;Beehome;
09.06.2024;Watering;Beehome;
10.06.2024;Fertilizing;Beehome;
10.06.2024;Fertilizing;Beehome;
10.06.2024;Watering;Beehome;
11.06.2024;Watering;Beehome;
12.06.2024;Watering;Beehome;
14.06.2024;Watering;Beehome;
15.06.2024;Watering;Beehome;
17.06.2024;Watering;Beehome;
19.06.2024;Watering;Beehome;
25.06.2024;Pruning;Beehome;
27.06.2024;Watering;Beehome;
28.06.2024;Watering;Beehome;
28.06.2024;Watering;Beehome;
02.07.2024;Watering;Beehome;
06.07.2024;Watering;Beehome;
15.07.2024;Watering;Beehome;
15.07.2024;Pruning;Beehome;
16.07.2024;Watering;Beehome;
17.07.2024;Watering;Beehome;
19.07.2024;Watering;Beehome;
21.07.2024;Watering;Beehome;
22.07.2024;Watering;Beehome;
23.07.2024;Watering;Beehome;
24.07.2024;Watering;Beehome;
31.07.2024;Watering;Beehome;
01.08.2024;Watering;Beehome;Rain Water
03.08.2024;Watering;Beehome;Rain Water
05.08.2024;Watering;Beehome;
09.08.2024;Watering;Beehome;
12.08.2024;Watering;Beehome;
13.08.2024;Watering;Beehome;
15.08.2024;Watering;Beehome;
18.08.2024;Watering;Beehome;Rain Water
21.08.2024;Watering;Beehome;
23.08.2024;Fertilizing;Beehome;
23.08.2024;Watering;Beehome;
28.08.2024;Watering;Beehome;
30.08.2024;Watering;Beehome;
02.09.2024;Watering;Beehome;
07.09.2024;Watering;Beehome;
09.09.2024;Watering;Beehome;
12.04.2024;Watering;Peppa;
14.04.2024;Watering;Peppa;
18.04.2024;Watering;Peppa;
18.04.2024;Fertilizing;Peppa;
22.04.2024;Watering;Peppa;
24.04.2024;Watering;Peppa;
14.05.2024;Watering;Peppa;
31.05.2024;Watering;Peppa;
15.06.2024;Watering;Peppa;
19.06.2024;Watering;Peppa;
01.07.2024;Watering;Peppa;
23.07.2024;Fertilizing;Peppa;
23.07.2024;Watering;Peppa;
09.08.2024;Watering;Peppa;
19.08.2024;Watering;Peppa;
12.04.2024;Watering;Eva Longoria;
14.04.2024;Watering;Eva Longoria;
18.04.2024;Watering;Eva Longoria;
22.04.2024;Watering;Eva Longoria;
22.04.2024;Repot;Eva Longoria;
07.05.2024;Watering;Eva Longoria;
14.05.2024;Watering;Eva Longoria;
18.05.2024;Fertilizing;Eva Longoria;
21.05.2024;Watering;Eva Longoria;
23.05.2024;Watering;Eva Longoria;
28.05.2024;Watering;Eva Longoria;
04.06.2024;Fertilizing;Eva Longoria;
04.06.2024;Watering;Eva Longoria;
09.06.2024;Watering;Eva Longoria;
11.06.2024;Watering;Eva Longoria;
19.06.2024;Watering;Eva Longoria;
25.06.2024;Fertilizing;Eva Longoria;
25.06.2024;Watering;Eva Longoria;
04.07.2024;Watering;Eva Longoria;
11.07.2024;Watering;Eva Longoria;
21.07.2024;Watering;Eva Longoria;
21.07.2024;Fertilizing;Eva Longoria;
26.07.2024;Watering;Eva Longoria;
31.07.2024;Watering;Eva Longoria;
07.08.2024;Fertilizing;Eva Longoria;
07.08.2024;Watering;Eva Longoria;
19.08.2024;Watering;Eva Longoria;
23.08.2024;Fertilizing;Eva Longoria;
23.08.2024;Watering;Eva Longoria;
02.09.2024;Watering;Eva Longoria;
12.04.2024;Watering;Maria;
16.04.2024;Watering;Maria;
17.04.2024;Fertilizing;Maria;
18.04.2024;Watering;Maria;
19.04.2024;Watering;Maria;
24.04.2024;Watering;Maria;
05.05.2024;Watering;Maria;
07.05.2024;Fertilizing;Maria;
08.05.2024;Watering;Maria;
14.05.2024;Watering;Maria;
21.05.2024;Watering;Maria;
29.05.2024;Watering;Maria;
05.06.2024;Watering;Maria;
07.06.2024;Fertilizing;Maria;
07.06.2024;Watering;Maria;
14.06.2024;Watering;Maria;
17.06.2024;Repot;Maria;
19.06.2024;Watering;Maria;
19.06.2024;Watering;Maria;
28.06.2024;Watering;Maria;
01.07.2024;Watering;Maria;
03.07.2024;Watering;Maria;
03.07.2024;Repot;Maria;
11.07.2024;Watering;Maria;
18.07.2024;Watering;Maria;
18.07.2024;Fertilizing;Maria;
26.07.2024;Watering;Maria;
06.08.2024;Watering;Maria;
09.08.2024;Watering;Maria;
14.08.2024;Repot;Maria;
14.08.2024;Watering;Maria;
21.08.2024;Fertilizing;Maria;
21.08.2024;Watering;Maria;
21.08.2024;Watering;Maria;
03.09.2024;Watering;Maria;
13.04.2024;Watering;Liliana;
18.04.2024;Watering;Liliana;
22.04.2024;Watering;Liliana;
24.04.2024;Watering;Liliana;
07.05.2024;Watering;Liliana;
11.05.2024;Watering;Liliana;
16.05.2024;Watering;Liliana;
20.05.2024;Repot;Liliana;
20.05.2024;Watering;Liliana;
23.05.2024;Watering;Liliana;
28.05.2024;Watering;Liliana;
04.06.2024;Fertilizing;Liliana;
04.06.2024;Watering;Liliana;
09.06.2024;Watering;Liliana;
13.06.2024;Watering;Liliana;
19.06.2024;Watering;Liliana;
28.06.2024;Watering;Liliana;
03.07.2024;Watering;Liliana;
11.07.2024;Watering;Liliana;
19.07.2024;Watering;Liliana;
25.07.2024;Watering;Liliana;
31.07.2024;Watering;Liliana;
12.08.2024;Fertilizing;Liliana;
12.08.2024;Watering;Liliana;
19.08.2024;Watering;Liliana;
25.08.2024;Watering;Liliana;
02.09.2024;Watering;Liliana;
13.04.2024;Watering;Rosy;
14.04.2024;Watering;Rosy;
17.04.2024;Watering;Rosy;Rainy day, outside plants are all wet
17.04.2024;Fertilizing;Rosy;
19.04.2024;Watering;Rosy;
22.04.2024;Watering;Rosy;
06.05.2024;Watering;Rosy;
06.05.2024;Watering;Rosy;
10.05.2024;Watering;Rosy;
17.05.2024;Watering;Rosy;
24.05.2024;Fertilizing;Rosy;
27.05.2024;Watering;Rosy;
01.06.2024;Watering;Rosy;
07.06.2024;Fertilizing;Rosy;
07.06.2024;Watering;Rosy;
15.06.2024;Watering;Rosy;
19.06.2024;Watering;Rosy;
25.06.2024;Fertilizing;Rosy;
25.06.2024;Watering;Rosy;
27.06.2024;Watering;Rosy;
28.06.2024;Repot;Rosy;
04.07.2024;Watering;Rosy;
11.07.2024;Watering;Rosy;
23.07.2024;Fertilizing;Rosy;
23.07.2024;Watering;Rosy;
02.08.2024;Watering;Rosy;
07.08.2024;Fertilizing;Rosy;
07.08.2024;Watering;Rosy;
14.08.2024;Watering;Rosy;
21.08.2024;Fertilizing;Rosy;
21.08.2024;Watering;Rosy;
28.08.2024;Watering;Rosy;
07.09.2024;Watering;Rosy;
13.04.2024;Watering;Martha;
18.04.2024;Watering;Martha;
19.04.2024;Watering;Martha;
22.04.2024;Watering;Martha;
07.05.2024;Watering;Martha;
14.05.2024;Watering;Martha;
17.05.2024;Fertilizing;Martha;Root Growth
24.05.2024;Watering;Martha;
01.06.2024;Watering;Martha;
07.06.2024;Fertilizing;Martha;
07.06.2024;Watering;Martha;
12.06.2024;Fertilizing;Martha;
11.06.2024;Watering;Martha;
19.06.2024;Watering;Martha;
03.07.2024;Watering;Martha;
03.07.2024;Fertilizing;Martha;
11.07.2024;Watering;Martha;
21.07.2024;Watering;Martha;
21.07.2024;Fertilizing;Martha;
31.07.2024;Watering;Martha;
12.08.2024;Fertilizing;Martha;
12.08.2024;Fertilizing;Martha;
12.08.2024;Watering;Martha;
21.08.2024;Watering;Martha;
21.08.2024;Repot;Martha;Split into two plants
21.08.2024;Watering;Martha;
02.09.2024;Watering;Martha;
14.04.2024;Watering;Lucy;
22.04.2024;Watering;Lucy;
22.04.2024;Repot;Lucy;
24.04.2024;Watering;Lucy;
07.05.2024;Watering;Lucy;
07.05.2024;Watering;Lucy;
09.05.2024;Watering;Lucy;
10.05.2024;Watering;Lucy;
12.05.2024;Watering;Lucy;
13.05.2024;Watering;Lucy;
14.05.2024;Watering;Lucy;
16.05.2024;Watering;Lucy;
17.05.2024;Watering;Lucy;Rain Water
18.05.2024;Fertilizing;Lucy;
20.05.2024;Watering;Lucy;
21.05.2024;Watering;Lucy;Rain Water
23.05.2024;Watering;Lucy;Rain Water
25.05.2024;Watering;Lucy;
26.05.2024;Watering;Lucy;
28.05.2024;Watering;Lucy;
29.05.2024;Watering;Lucy;
31.05.2024;Watering;Lucy;Rain water
01.06.2024;Watering;Lucy;Rain Water
03.06.2024;Watering;Lucy;Rain Water
04.06.2024;Fertilizing;Lucy;
04.06.2024;Watering;Lucy;
05.06.2024;Watering;Lucy;
07.06.2024;Watering;Lucy;
08.06.2024;Watering;Lucy;
09.06.2024;Watering;Lucy;
10.06.2024;Watering;Lucy;
11.06.2024;Watering;Lucy;
13.06.2024;Watering;Lucy;
15.06.2024;Fertilizing;Lucy;
15.06.2024;Watering;Lucy;
16.06.2024;Watering;Lucy;
18.06.2024;Watering;Lucy;
19.06.2024;Watering;Lucy;
25.06.2024;Watering;Lucy;
25.06.2024;Fertilizing;Lucy;
26.06.2024;Watering;Lucy;
27.06.2024;Watering;Lucy;
28.06.2024;Watering;Lucy;
29.06.2024;Watering;Lucy;
01.07.2024;Watering;Lucy;
05.07.2024;Watering;Lucy;
05.07.2024;Fertilizing;Lucy;
15.07.2024;Watering;Lucy;
19.07.2024;Watering;Lucy;
21.07.2024;Watering;Lucy;
22.07.2024;Watering;Lucy;
24.07.2024;Fertilizing;Lucy;
24.07.2024;Watering;Lucy;
26.07.2024;Watering;Lucy;
31.07.2024;Watering;Lucy;
01.08.2024;Watering;Lucy;Rain Water
02.08.2024;Watering;Lucy;
03.08.2024;Watering;Lucy;Rain Water
05.08.2024;Watering;Lucy;
07.08.2024;Fertilizing;Lucy;
07.08.2024;Watering;Lucy;
08.08.2024;Watering;Lucy;
11.08.2024;Watering;Lucy;
12.08.2024;Watering;Lucy;
12.08.2024;Repot;Lucy;
13.08.2024;Watering;Lucy;
15.08.2024;Watering;Lucy;
18.08.2024;Watering;Lucy;Rain Water
20.08.2024;Watering;Lucy;
21.08.2024;Watering;Lucy;
23.08.2024;Fertilizing;Lucy;
23.08.2024;Watering;Lucy;
24.08.2024;Watering;Lucy;
28.08.2024;Watering;Lucy;
30.08.2024;Watering;Lucy;
02.09.2024;Watering;Lucy;
05.09.2024;Watering;Lucy;
10.09.2024;Watering;Lucy;
14.04.2024;Watering;Stefan;
22.04.2024;Watering;Stefan;
22.04.2024;Repot;Stefan;
24.04.2024;Watering;Stefan;
07.05.2024;Watering;Stefan;
07.05.2024;Watering;Stefan;
08.05.2024;Watering;Stefan;
09.05.2024;Watering;Stefan;
10.05.2024;Watering;Stefan;
12.05.2024;Watering;Stefan;
13.05.2024;Watering;Stefan;
14.05.2024;Watering;Stefan;
16.05.2024;Watering;Stefan;
17.05.2024;Watering;Stefan;Rain Water
18.05.2024;Fertilizing;Stefan;
20.05.2024;Watering;Stefan;
21.05.2024;Watering;Stefan;Rain Water
23.05.2024;Watering;Stefan;Rain Water
25.05.2024;Watering;Stefan;
26.05.2024;Watering;Stefan;
28.05.2024;Watering;Stefan;
31.05.2024;Watering;Stefan;Rain water
01.06.2024;Watering;Stefan;Rain Water
03.06.2024;Watering;Stefan;Rain Water
04.06.2024;Fertilizing;Stefan;
04.06.2024;Watering;Stefan;
05.06.2024;Watering;Stefan;
06.06.2024;Watering;Stefan;
07.06.2024;Watering;Stefan;
09.06.2024;Watering;Stefan;
11.06.2024;Watering;Stefan;
13.06.2024;Watering;Stefan;
14.06.2024;Watering;Stefan;
15.06.2024;Fertilizing;Stefan;
15.06.2024;Fertilizing;Stefan;
15.06.2024;Watering;Stefan;
15.06.2024;Watering;Stefan;
18.06.2024;Watering;Stefan;
19.06.2024;Watering;Stefan;
25.06.2024;Watering;Stefan;
25.06.2024;Fertilizing;Stefan;
27.06.2024;Watering;Stefan;
28.06.2024;Watering;Stefan;
02.07.2024;Watering;Stefan;
05.07.2024;Watering;Stefan;
05.07.2024;Fertilizing;Stefan;
06.07.2024;Watering;Stefan;
15.07.2024;Watering;Stefan;
16.07.2024;Fertilizing;Stefan;
16.07.2024;Watering;Stefan;
21.07.2024;Watering;Stefan;
22.07.2024;Watering;Stefan;
26.07.2024;Watering;Stefan;
26.07.2024;Watering;Stefan;
01.08.2024;Watering;Stefan;Rain Water
03.08.2024;Watering;Stefan;Rain Water
07.08.2024;Fertilizing;Stefan;
07.08.2024;Watering;Stefan;
12.08.2024;Watering;Stefan;
12.08.2024;Watering;Stefan;
15.08.2024;Watering;Stefan;
18.08.2024;Watering;Stefan;Rain Water
20.08.2024;Watering;Stefan;
27.08.2024;Watering;Stefan;
02.09.2024;Watering;Stefan;
09.09.2024;Watering;Stefan;Rain Water
15.04.2024;Watering;Findus;
18.04.2024;Fertilizing;Findus;
22.04.2024;Watering;Findus;
24.04.2024;Watering;Findus;
09.05.2024;Watering;Findus;
17.05.2024;Watering;Findus;
18.05.2024;Fertilizing;Findus;
19.05.2024;Watering;Findus;
23.05.2024;Watering;Findus;
29.05.2024;Watering;Findus;
04.06.2024;Watering;Findus;
10.06.2024;Watering;Findus;
16.06.2024;Watering;Findus;
19.06.2024;Watering;Findus;
25.06.2024;Fertilizing;Findus;
25.06.2024;Watering;Findus;
02.07.2024;Watering;Findus;
02.07.2024;Repot;Findus;
11.07.2024;Watering;Findus;
15.07.2024;Watering;Findus;
23.07.2024;Watering;Findus;
31.07.2024;Watering;Findus;
07.08.2024;Fertilizing;Findus;
07.08.2024;Watering;Findus;
14.08.2024;Watering;Findus;
22.08.2024;Watering;Findus;
29.08.2024;Watering;Findus;
05.09.2024;Watering;Findus;
17.04.2024;Watering;Cerberus;Rainy day, outside plants are all wet
07.05.2024;Watering;Cerberus;
17.05.2024;Fertilizing;Cerberus;Root Growth
26.05.2024;Watering;Cerberus;
16.06.2024;Watering;Cerberus;
06.07.2024;Watering;Cerberus;
06.07.2024;Fertilizing;Cerberus;
16.07.2024;Repot;Cerberus;
09.08.2024;Watering;Cerberus;
30.08.2024;Fertilizing;Cerberus;
30.08.2024;Watering;Cerberus;
22.04.2024;Watering;Pepe;
06.05.2024;Watering;Pepe;
17.05.2024;Fertilizing;Pepe;Root Growth
20.05.2024;Repot;Pepe;Combined Sam, Pepe and Harvey into a single pot
20.05.2024;Watering;Pepe;
04.06.2024;Watering;Pepe;
18.06.2024;Watering;Pepe;
03.07.2024;Watering;Pepe;
16.07.2024;Repot;Pepe;
09.08.2024;Watering;Pepe;
30.08.2024;Fertilizing;Pepe;
30.08.2024;Watering;Pepe;
22.04.2024;Watering;Brock;
22.04.2024;Repot;Brock;
08.05.2024;Watering;Brock;
11.05.2024;Watering;Brock;
19.05.2024;Repot;Brock;
19.05.2024;Watering;Brock;
20.05.2024;Watering;Brock;
24.05.2024;Fertilizing;Brock;
28.05.2024;Watering;Brock;
01.06.2024;Watering;Brock;Rain Water
04.06.2024;Fertilizing;Brock;
04.06.2024;Watering;Brock;
06.06.2024;Watering;Brock;
10.06.2024;Watering;Brock;
11.06.2024;Watering;Brock;
14.06.2024;Watering;Brock;
17.06.2024;Watering;Brock;
25.06.2024;Watering;Brock;
27.06.2024;Watering;Brock;
28.06.2024;Repot;Brock;
28.06.2024;Watering;Brock;
03.07.2024;Fertilizing;Brock;
03.07.2024;Watering;Brock;
06.07.2024;Watering;Brock;
15.07.2024;Watering;Brock;
16.07.2024;Watering;Brock;
18.07.2024;Watering;Brock;
18.07.2024;Fertilizing;Brock;
19.07.2024;Watering;Brock;
21.07.2024;Watering;Brock;
22.07.2024;Watering;Brock;
26.07.2024;Watering;Brock;
31.07.2024;Watering;Brock;
01.08.2024;Watering;Brock;Rain Water
02.08.2024;Watering;Brock;
03.08.2024;Watering;Brock;Rain Water
05.08.2024;Watering;Brock;
07.08.2024;Watering;Brock;
08.08.2024;Watering;Brock;
12.08.2024;Watering;Brock;
13.08.2024;Watering;Brock;
15.08.2024;Watering;Brock;
18.08.2024;Watering;Brock;Rain Water
20.08.2024;Watering;Brock;
21.08.2024;Watering;Brock;
23.08.2024;Fertilizing;Brock;
23.08.2024;Watering;Brock;
24.08.2024;Watering;Brock;
27.08.2024;Watering;Brock;
28.08.2024;Watering;Brock;
30.08.2024;Watering;Brock;
02.09.2024;Watering;Brock;
05.09.2024;Watering;Brock;
07.09.2024;Watering;Brock;
09.09.2024;Watering;Brock;
22.04.2024;Watering;Kelly;
22.04.2024;Repot;Kelly;
02.05.2024;Repot;Kelly;
07.05.2024;Watering;Kelly;
10.05.2024;Watering;Kelly;
11.05.2024;Watering;Kelly;
12.05.2024;Watering;Kelly;
13.05.2024;Watering;Kelly;
14.05.2024;Watering;Kelly;
18.05.2024;Repot;Kelly;
18.05.2024;Watering;Kelly;
20.05.2024;Watering;Kelly;
21.05.2024;Watering;Kelly;Rain Water
24.05.2024;Fertilizing;Kelly;
26.05.2024;Watering;Kelly;
28.05.2024;Watering;Kelly;
01.06.2024;Watering;Kelly;Rain Water
03.06.2024;Watering;Kelly;Rain Water
05.06.2024;Watering;Kelly;
08.06.2024;Watering;Kelly;
10.06.2024;Watering;Kelly;
10.06.2024;Repot;Kelly;
11.06.2024;Watering;Kelly;
13.06.2024;Watering;Kelly;
15.06.2024;Fertilizing;Kelly;
15.06.2024;Watering;Kelly;
18.06.2024;Watering;Kelly;
19.06.2024;Watering;Kelly;
25.06.2024;Watering;Kelly;
28.06.2024;Watering;Kelly;
02.07.2024;Fertilizing;Kelly;
02.07.2024;Watering;Kelly;
06.07.2024;Watering;Kelly;
15.07.2024;Watering;Kelly;
16.07.2024;Fertilizing;Kelly;
16.07.2024;Watering;Kelly;
19.07.2024;Watering;Kelly;
21.07.2024;Watering;Kelly;
26.07.2024;Watering;Kelly;
31.07.2024;Watering;Kelly;
01.08.2024;Watering;Kelly;Rain Water
03.08.2024;Watering;Kelly;Rain Water
05.08.2024;Watering;Kelly;
07.08.2024;Fertilizing;Kelly;
07.08.2024;Watering;Kelly;
09.08.2024;Watering;Kelly;
11.08.2024;Watering;Kelly;
12.08.2024;Watering;Kelly;
18.08.2024;Watering;Kelly;Rain Water
20.08.2024;Watering;Kelly;
21.08.2024;Watering;Kelly;
23.08.2024;Fertilizing;Kelly;
23.08.2024;Watering;Kelly;
30.08.2024;Watering;Kelly;
02.09.2024;Watering;Kelly;
07.09.2024;Watering;Kelly;
09.09.2024;Watering;Kelly;
22.04.2024;Watering;Sandy;
22.04.2024;Repot;Sandy;
24.04.2024;Watering;Sandy;
07.05.2024;Watering;Sandy;
07.05.2024;Watering;Sandy;
09.05.2024;Watering;Sandy;
10.05.2024;Watering;Sandy;
12.05.2024;Watering;Sandy;
13.05.2024;Watering;Sandy;
14.05.2024;Watering;Sandy;
16.05.2024;Watering;Sandy;
17.05.2024;Watering;Sandy;Rain Water
18.05.2024;Fertilizing;Sandy;
20.05.2024;Watering;Sandy;
21.05.2024;Watering;Sandy;Rain Water
23.05.2024;Watering;Sandy;Rain Water
25.05.2024;Watering;Sandy;
26.05.2024;Watering;Sandy;
28.05.2024;Watering;Sandy;
29.05.2024;Watering;Sandy;
31.05.2024;Watering;Sandy;Rain water
01.06.2024;Watering;Sandy;Rain Water
03.06.2024;Watering;Sandy;Rain Water
04.06.2024;Fertilizing;Sandy;
04.06.2024;Watering;Sandy;
05.06.2024;Watering;Sandy;
06.06.2024;Watering;Sandy;
07.06.2024;Watering;Sandy;
08.06.2024;Watering;Sandy;
09.06.2024;Watering;Sandy;
10.06.2024;Watering;Sandy;
11.06.2024;Watering;Sandy;
13.06.2024;Watering;Sandy;
15.06.2024;Fertilizing;Sandy;
15.06.2024;Watering;Sandy;
16.06.2024;Watering;Sandy;
18.06.2024;Watering;Sandy;
19.06.2024;Watering;Sandy;
25.06.2024;Watering;Sandy;
25.06.2024;Fertilizing;Sandy;
26.06.2024;Watering;Sandy;
27.06.2024;Watering;Sandy;
28.06.2024;Watering;Sandy;
29.06.2024;Watering;Sandy;
01.07.2024;Watering;Sandy;
05.07.2024;Watering;Sandy;
05.07.2024;Fertilizing;Sandy;
15.07.2024;Watering;Sandy;
19.07.2024;Watering;Sandy;
21.07.2024;Watering;Sandy;
22.07.2024;Watering;Sandy;
24.07.2024;Fertilizing;Sandy;
24.07.2024;Watering;Sandy;
26.07.2024;Watering;Sandy;
31.07.2024;Watering;Sandy;
01.08.2024;Watering;Sandy;Rain Water
02.08.2024;Watering;Sandy;
03.08.2024;Watering;Sandy;Rain Water
05.08.2024;Watering;Sandy;
07.08.2024;Fertilizing;Sandy;
07.08.2024;Watering;Sandy;
08.08.2024;Watering;Sandy;
11.08.2024;Watering;Sandy;
12.08.2024;Watering;Sandy;
12.08.2024;Repot;Sandy;
13.08.2024;Watering;Sandy;
15.08.2024;Watering;Sandy;
18.08.2024;Watering;Sandy;Rain Water
20.08.2024;Watering;Sandy;
21.08.2024;Watering;Sandy;
23.08.2024;Fertilizing;Sandy;
